iter	RMSE
0	33.71034381
1	30.71876575
2	28.89406736
3	27.92436708
4	27.07824515
5	26.70176505
6	26.2109299
7	25.85394089
8	25.64258428
9	25.59039025
10	25.3944499
11	25.30499348
12	25.16721534
13	25.13797317
14	25.08308863
15	25.02076845
16	25.00482069
17	24.94381217
18	24.91855499
19	24.80697523
20	24.7536871
21	24.63109174
22	24.55053391
23	24.49474061
24	24.43731378
25	24.409581
26	24.36855838
27	24.34668785
28	24.29923136
29	24.29447025
30	24.27772247
31	24.22168814
32	24.21063504
33	24.15436034
34	24.14919777
35	24.07941573
36	24.05347213
37	24.02174052
38	24.0181921
39	23.98985407
40	23.9427897
41	23.92533253
42	23.92391645
43	23.87738805
44	23.86957635
45	23.85287741
46	23.84222383
47	23.7494823
48	23.74317349
49	23.74233935
50	23.72283811
51	23.69301994
52	23.68627338
53	23.6829592
54	23.68187964
55	23.67198176
56	23.65684834
57	23.63045147
58	23.6232552
59	23.56460919
60	23.55863845
61	23.55536113
62	23.51609262
63	23.50659107
64	23.48042354
65	23.44738738
66	23.42292683
67	23.42161212
68	23.40954508
69	23.40442002
70	23.39684741
71	23.39451377
72	23.39142343
73	23.36791892
74	23.33853636
75	23.32380623
76	23.3126205
77	23.30906138
78	23.28714768
79	23.28581448
80	23.27866993
81	23.27189795
82	23.26833937
83	23.26717291
84	23.26273655
85	23.24270558
86	23.24247393
87	23.24178168
88	23.20336389
89	23.20332996
90	23.2002128
91	23.18900683
92	23.18255093
93	23.1805448
94	23.17363546
95	23.17296832
96	23.15655567
97	23.15532646
98	23.15474719
99	23.11765167
100	23.0810422
101	23.07993175
102	23.07929192
103	23.07422314
104	23.06949309
105	23.06876562
106	23.05920946
107	23.05185535
108	23.0516013
109	23.04852236
110	23.04602229
111	23.04505498
112	23.04482545
113	23.04479266
114	23.00706824
115	23.00660567
116	23.00658514
117	23.00657419
118	23.00540403
119	23.00530001
120	22.98346657
121	22.98036411
122	22.96766564
123	22.96682116
124	22.96483526
125	22.96463029
126	22.94722548
127	22.91748216
128	22.91678765
129	22.9024008
130	22.90205984
131	22.90205297
132	22.90204885
133	22.90204747
134	22.9020461
135	22.90188387
136	22.88648956
137	22.87163693
138	22.86860467
139	22.8592837
140	22.85115152
141	22.84681837
142	22.81819367
143	22.81817711
144	22.81816745
145	22.79636817
146	22.79059682
147	22.7676835
148	22.76549974
149	22.74098072
150	22.7347189
151	22.73321204
152	22.72641815
153	22.72549889
154	22.72208961
155	22.72152909
156	22.71981348
157	22.71947394
158	22.70192765
159	22.70164124
160	22.68586539
161	22.68550731
162	22.6851395
163	22.6802582
164	22.68004371
165	22.67984797
166	22.66712005
167	22.66703879
168	22.66694433
169	22.66251969
170	22.66227446
171	22.66215428
172	22.66209593
173	22.66206675
174	22.65961923
175	22.65957407
176	22.6595303
177	22.65950738
178	22.65683515
179	22.63326543
180	22.57731329
181	22.57720591
182	22.57682518
183	22.57041947
184	22.56676981
185	22.56500545
186	22.54693258
187	22.51468454
188	22.51467056
189	22.51377412
190	22.49282281
191	22.49280531
192	22.49128295
193	22.46411706
194	22.46347441
195	22.44603871
196	22.44499083
197	22.43985664
198	22.43057579
199	22.42858875
200	22.41988536
201	22.40434467
202	22.39839288
203	22.38353991
204	22.38111047
205	22.34803213
206	22.31026918
207	22.30948026
208	22.30941604
209	22.30900534
210	22.30704275
211	22.30682255
212	22.3058006
213	22.30363162
214	22.30236388
215	22.2967485
216	22.29501362
217	22.29467256
218	22.29352859
219	22.2929135
220	22.28902063
221	22.28225028
222	22.27919433
223	22.27890956
224	22.26909576
225	22.26909222
226	22.23216178
227	22.2191342
228	22.21886495
229	22.20940953
230	22.20080671
231	22.20077267
232	22.18162164
233	22.16689472
234	22.15876989
235	22.15855604
236	22.15739865
237	22.15507942
238	22.15495436
239	22.15469428
240	22.15463104
241	22.15449886
242	22.10993898
243	22.10861954
244	22.09942469
245	22.0990913
246	22.09907135
247	22.08915627
248	22.07019943
249	22.06132468
250	22.04714293
251	22.04664022
252	22.04636244
253	22.03538916
254	22.02534034
255	22.0251788
256	22.0250673
257	22.01844816
258	22.01811139
259	22.01084931
260	21.96900367
261	21.96399619
262	21.96312816
263	21.96250526
264	21.94776545
265	21.93843716
266	21.92539948
267	21.92536573
268	21.9248868
269	21.92188516
270	21.92039712
271	21.91364722
272	21.91357897
273	21.9132097
274	21.90666169
275	21.89087819
276	21.87654996
277	21.8765183
278	21.86797026
279	21.82963576
280	21.8176205
281	21.81732393
282	21.77123084
283	21.75702643
284	21.75389018
285	21.75367597
286	21.75229945
287	21.75112551
288	21.74765687
289	21.74590714
290	21.74502172
291	21.73353629
292	21.73072701
293	21.72179256
294	21.72172298
295	21.71831271
296	21.71823008
297	21.71520277
298	21.7150382
299	21.7142494
300	21.7066253
301	21.68311976
302	21.68309871
303	21.67965041
304	21.67858001
305	21.67312117
