iter	RMSE
306	21.67311827
307	21.67278049
308	21.67278049
309	21.66269501
310	21.66242176
311	21.66024722
312	21.66016873
313	21.65966576
314	21.65827455
315	21.65815534
316	21.65592949
317	21.65542061
318	21.65360163
319	21.65345622
320	21.65333117
321	21.6405553
322	21.63230192
323	21.63169641
324	21.62750837
325	21.62295986
326	21.61621686
327	21.61536473
328	21.61536255
329	21.61536182
330	21.61400417
331	21.61241043
332	21.60438968
333	21.59928528
334	21.5992277
335	21.59878527
336	21.59878527
337	21.59480299
338	21.59297453
339	21.59225564
340	21.59210107
341	21.5920566
342	21.582107
343	21.57788453
344	21.57380864
345	21.57372107
346	21.56961009
347	21.56957432
348	21.56765467
349	21.56562096
350	21.56560198
351	21.55577602
352	21.55284204
353	21.52346122
354	21.51876853
355	21.51865514
356	21.49142527
357	21.48971402
358	21.48756157
359	21.48750516
360	21.48703991
361	21.4683023
362	21.46810504
363	21.45802167
364	21.45388485
365	21.45146461
366	21.45024704
367	21.44963493
368	21.4493252
369	21.4491674
370	21.445219
371	21.44469264
372	21.43188569
373	21.43185337
374	21.43089915
375	21.42706715
376	21.42168826
377	21.41690418
378	21.40595167
379	21.4055229
380	21.39526213
381	21.39346077
382	21.3922951
383	21.39186826
384	21.39174168
385	21.38613454
386	21.37782491
387	21.37656265
388	21.37309657
389	21.37244247
390	21.37238796
391	21.37234229
392	21.37202997
393	21.37201008
394	21.37093017
395	21.36982662
396	21.36949879
397	21.3693264
398	21.36741381
399	21.36644787
400	21.36623935
401	21.34212731
402	21.34182339
403	21.33713134
404	21.33615149
405	21.33239102
406	21.33238807
407	21.33069284
408	21.32983448
409	21.32178422
410	21.31826419
411	21.31787722
412	21.31745923
413	21.31735584
414	21.31730857
415	21.3170981
416	21.31418297
417	21.31407365
418	21.3124464
419	21.31238066
420	21.31146615
421	21.3114233
422	21.30977886
423	21.30806706
424	21.30806336
425	21.30121329
426	21.30121181
427	21.30016379
428	21.29991692
429	21.29645167
430	21.29534945
431	21.2905636
432	21.29033289
433	21.26422179
434	21.2608381
435	21.25979919
436	21.25647923
437	21.2513409
438	21.25044673
439	21.2503519
440	21.24830116
441	21.24817965
442	21.24736908
443	21.22458993
444	21.22375769
445	21.21236406
446	21.20688618
447	21.20314066
448	21.20216278
449	21.20175736
450	21.2010304
451	21.1979738
452	21.19796934
453	21.19754008
454	21.18385542
455	21.1836674
456	21.18278524
457	21.18269011
458	21.18256451
459	21.18217209
460	21.18212006
461	21.18191939
462	21.18184061
463	21.18174473
464	21.18174176
465	21.18170014
466	21.18168973
467	21.18168824
468	21.18093384
469	21.18080897
470	21.17382256
471	21.17362256
472	21.17359728
473	21.17358389
474	21.17358315
475	21.17290281
476	21.17288943
477	21.17288794
478	21.16768693
479	21.16768246
480	21.14908696
481	21.14733609
482	21.14675169
483	21.14212283
484	21.13400852
485	21.13064719
486	21.11176105
487	21.10866989
488	21.10710811
489	21.10707603
490	21.10341127
491	21.10146786
492	21.10146711
493	21.08561772
494	21.07402316
495	21.06153049
496	21.06133017
497	21.06062677
498	21.05360497
499	21.05350626
500	21.05163527
501	21.05163452
502	21.0362707
503	21.03349329
504	21.0324207
505	21.02861116
506	21.02133078
507	21.02132928
508	21.01685332
509	20.98636807
510	20.98359906
511	20.98252241
512	20.98178561
513	20.97550674
514	20.97540842
515	20.96654106
516	20.96645245
517	20.96644795
518	20.96625047
519	20.9601442
520	20.96002853
521	20.95332014
522	20.95201126
523	20.95106524
524	20.94785492
525	20.9477715
526	20.94613158
527	20.94515223
528	20.9450485
529	20.94499814
530	20.94323923
531	20.93597804
532	20.92876397
533	20.92870454
534	20.92867521
535	20.92843449
536	20.92744453
537	20.92343982
538	20.92301094
539	20.92255571
540	20.9164698
541	20.91496066
542	20.91291467
543	20.87184719
544	20.87171142
545	20.87062523
546	20.8706192
547	20.86713019
548	20.86593964
549	20.86556541
550	20.86521004
551	20.86508026
552	20.86505687
553	20.86501386
554	20.86336517
555	20.86335536
556	20.86334933
557	20.85973608
558	20.85946137
559	20.8592825
560	20.85928325
561	20.8592825
562	20.8592825
563	20.85784771
564	20.85784695
565	20.85775865
566	20.8577594
567	20.85742654
568	20.85386058
569	20.85385756
570	20.85328004
571	20.85292899
572	20.85273043
573	20.85261492
574	20.8518388
575	20.85182748
576	20.85182219
577	20.85180785
578	20.84251099
579	20.84128731
580	20.84122688
581	20.8412012
582	20.83209837
583	20.83171824
584	20.82905565
585	20.82579477
586	20.82064618
587	20.8200201
588	20.8200201
589	20.81914294
590	20.81833684
591	20.81798746
592	20.81759422
593	20.8139806
594	20.81334826
595	20.81328548
596	20.81325523
597	20.79205171
598	20.78782629
599	20.78770663
600	20.78761196
601	20.77385734
602	20.77372093
603	20.76861324
604	20.75326975
605	20.7531552
606	20.74051709
607	20.74050874
608	20.72988692
609	20.7298854
610	20.72951327
611	20.72899304
612	20.72888671
613	20.72097299
614	20.72095855
615	20.72071771
616	20.72068352
617	20.7206197
618	20.71779617
619	20.71778857
620	20.71345299
621	20.71344311
622	20.71318317
623	20.71105796
624	20.70848553
625	20.69736047
626	20.6973483
627	20.69726235
628	20.69707523
629	20.69706002
630	20.69112615
631	20.68442036
632	20.68442112
633	20.68376808
634	20.68077662
635	20.68071191
636	20.68066243
637	20.68032748
638	20.68029931
639	20.6802681
640	20.68024526
641	20.67891606
642	20.67321153
643	20.67088648
644	20.66942338
645	20.66857868
646	20.6587993
647	20.65833368
648	20.65076572
649	20.64506867
650	20.64499546
651	20.64176347
652	20.63980024
653	20.63974303
654	20.63944861
655	20.63944861
656	20.63888873
657	20.63810152
658	20.63769341
659	20.63749278
660	20.63593806
661	20.63463804
662	20.63399411
663	20.6332563
664	20.62995914
665	20.62893043
666	20.62875338
667	20.62372887
668	20.62351132
669	20.59688508
670	20.59627054
671	20.59601524
672	20.59499401
673	20.5948977
674	20.59415467
675	20.59411415
676	20.59364325
677	20.59242695
678	20.57897104
679	20.57891137
680	20.57740042
681	20.57737441
682	20.5773614
683	20.57711199
684	20.57228073
685	20.56421257
686	20.56392166
687	20.55599651
688	20.55503916
689	20.55024867
690	20.54998897
691	20.54746456
692	20.51303419
693	20.5128216
694	20.51267271
695	20.50917424
696	20.50472391
697	20.50425863
698	20.50420796
699	20.50406208
